Czas [s],Wartość [V]
0.01,0.19042969
0.13,0.93750000
0.24,0.30761719
0.35,2.54394531
0.46,1.84082031
0.57,3.69628906
0.68,3.23242188
0.79,4.68750000
0.90,3.87207031
1.01,5.70312500
1.12,5.19042969
1.23,6.14257812
1.34,6.55761719
1.45,7.83691406
1.56,8.49121094
1.67,8.02246094
1.77,7.93457031
1.88,9.74609375
1.99,8.84277344
2.10,8.33007812
2.21,8.99902344
2.32,9.43359375
2.43,9.45312500
2.54,9.66796875
2.65,9.32617188
2.76,9.28710938
2.87,9.60937500
2.98,8.93066406
3.09,9.80957031
3.20,8.73535156
3.31,9.51660156
3.42,8.73046875
3.53,9.01855469
3.64,8.98925781
3.75,7.71484375
3.86,8.59863281
3.97,8.11035156
4.08,7.28027344
4.19,7.47558594
4.30,6.04492188
4.41,5.92773438
4.52,6.32324219
4.62,4.43359375
4.73,3.29101562
4.84,4.18945312
4.95,2.82226562
5.06,2.70019531
5.17,0.94726562
5.28,0.88867188
5.39,0.62011719
5.50,-0.86425781
5.61,-1.31347656
5.72,-0.72265625
5.83,-2.35839844
5.94,-1.57714844
6.05,-2.50000000
6.16,-3.02734375
6.27,-3.68652344
6.38,-4.46777344
6.49,-6.17675781
6.60,-4.96582031
6.71,-6.63574219
6.82,-6.31347656
6.93,-8.21289062
7.04,-6.75292969
7.14,-8.49121094
7.26,-8.88671875
7.36,-9.28222656
7.47,-9.31152344
7.58,-9.37988281
7.69,-8.97460938
7.80,-9.84375000
7.91,-9.44824219
8.02,-9.06250000
8.13,-9.44335938
8.24,-9.94140625
8.35,-9.74121094
8.46,-9.96093750
8.56,-9.14550781
8.67,-9.46777344
8.78,-9.79003906
8.89,-9.26269531
9.01,-9.01367188
9.11,-9.58007812
9.22,-8.14941406
9.33,-9.07226562
9.44,-7.74902344
9.55,-6.87988281
9.66,-6.49414062
9.77,-7.21191406
9.88,-6.12304688
9.99,-5.80078125
10.10,-3.86718750
10.21,-4.14550781
10.31,-3.51074219
10.42,-3.89160156
10.53,-1.83593750
10.64,-1.36230469
10.75,-0.72265625
10.86,-0.99121094
10.97,-0.50292969
11.08,0.97656250
11.19,0.34667969
11.30,0.94726562
11.41,1.58203125
11.52,3.91601562
11.63,2.69531250
11.74,3.43261719
11.85,4.98535156
11.96,5.50292969
12.07,6.24511719
12.18,5.78613281
12.29,7.31445312
12.39,7.43652344
12.50,6.83593750
12.61,7.80273438
12.72,9.13085938
12.83,8.88671875
12.94,9.83398438
13.05,8.31054688
13.16,9.19921875
13.27,8.89648438
13.38,9.41406250
13.49,9.38964844
13.60,9.00878906
13.71,9.48730469
13.82,9.92675781
13.93,9.26757812
14.03,9.45312500
14.14,9.49707031
14.25,8.81835938
14.36,8.82812500
14.47,9.81445312
14.58,9.20898438
14.69,8.43261719
14.80,7.20214844
14.91,8.21289062
15.02,7.00195312
15.13,6.83593750
15.24,5.46386719
15.35,6.76757812
15.46,5.02929688
15.57,5.04882812
15.68,3.53027344
15.79,2.83691406
15.89,3.61816406
16.00,3.05664062
16.11,1.56738281
16.22,1.76269531
16.33,0.38085938
16.44,0.31250000
16.55,-1.23046875
16.66,-0.96191406
16.77,-2.41699219
16.88,-3.13476562
16.99,-3.33496094
17.10,-3.24707031
17.21,-4.22363281
17.32,-4.06738281
17.43,-6.27929688
17.54,-6.60156250
17.65,-5.78125000
17.76,-6.79199219
17.86,-6.75781250
17.97,-6.97265625
18.08,-8.69140625
18.19,-8.58398438
18.30,-9.70214844
18.41,-8.45703125
18.52,-9.74121094
18.63,-9.53125000
18.74,-9.00878906
18.85,-9.48730469
18.96,-9.08691406
19.07,-9.06250000
19.18,-9.06250000
19.29,-9.06250000
19.40,-9.34570312
19.51,-9.24804688
19.62,-9.70703125
19.73,-8.93554688
19.84,-10.00000000
19.95,-8.73535156
20.06,-9.42382812
20.17,-8.84277344
20.28,-7.43652344
20.39,-8.06640625
20.50,-6.51855469
20.61,-7.14843750
20.71,-6.29882812
20.82,-6.56250000
20.93,-5.55664062
21.04,-5.50292969
21.15,-3.88671875
21.26,-4.54589844
21.37,-3.83300781
21.48,-2.11914062
21.59,-2.21679688
21.70,-1.33789062
21.81,0.22460938
21.92,0.47363281
22.03,0.79589844
22.14,1.34277344
22.25,5.86425781
22.36,2.57812500
22.47,3.02246094
22.58,4.57031250
22.69,3.85253906
22.80,5.62500000
22.91,5.56640625
23.02,4.91210938
23.13,5.44433594
23.24,6.81640625
23.35,6.54296875
23.46,6.91894531
23.57,8.49609375
23.68,7.49511719
23.79,8.78906250
23.89,8.08105469
24.00,8.33007812
24.11,9.39941406
24.22,9.45312500
24.33,9.47265625
24.44,9.20898438
24.55,9.64843750
24.66,9.72656250
24.77,9.92675781
24.88,9.16992188
24.99,9.71191406
25.10,8.73535156
25.21,9.41894531
25.32,9.36523438
25.43,9.63378906
25.54,8.41308594
25.65,8.89160156
25.76,7.84179688
25.87,8.45214844
25.98,7.47558594
26.09,6.83593750
26.20,5.88378906
26.31,5.25390625
26.42,4.95117188
26.53,5.72753906
26.64,3.38867188
26.75,4.58984375
26.85,3.87695312
26.96,2.67578125
27.07,1.54785156
27.18,0.74707031
27.29,1.25976562
27.40,0.47363281
27.51,-0.89355469
27.62,-1.06445312
27.73,-2.41699219
27.84,-1.93847656
27.95,-3.03710938
28.06,-4.32617188
28.17,-3.88671875
28.28,-4.16503906
28.39,-5.87890625
28.50,-5.02441406
28.61,-5.93750000
28.72,-7.72949219
28.83,-8.23242188
28.94,-8.00781250
29.05,-9.05273438
29.16,-9.18457031
29.27,-9.42382812
29.38,-9.57031250
29.49,-8.36425781
29.60,-9.58984375
29.71,-8.85253906
29.82,-9.42871094
29.93,-9.90234375
30.04,-9.14550781
30.15,-9.80468750
30.26,-9.68261719
30.37,-9.68261719
30.48,-9.50683594
30.59,-8.73046875
30.70,-9.27246094
30.81,-9.12597656
30.92,-9.11132812
31.03,-9.16015625
31.14,-7.45117188
31.25,-7.85644531
31.36,-7.25097656
31.47,-7.13867188
31.58,-7.26562500
31.69,-6.18164062
31.79,-5.90332031
31.90,-5.62011719
32.01,-3.92578125
32.12,-4.08691406
32.23,-3.72558594
32.34,-3.37402344
32.45,-3.03222656
32.56,-1.10351562
32.67,-1.35742188
32.78,-0.33691406
32.89,0.45410156
33.00,0.87890625
33.11,2.06054688
33.22,1.68945312
33.33,2.42187500
